Algorithm,Metadata,Rundata,Pulls
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":1085.33,\"Optimal Mean\":0.949278}",231176
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":53.8038,\"Optimal Mean\":0.809291}",86021
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":1605.43,\"Optimal Mean\":0.996731}",549613
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":56.9649,\"Optimal Mean\":0.92158}",86021
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":62.2852,\"Optimal Mean\":0.885432}",86021
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":227.768,\"Optimal Mean\":0.90749}",108471
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":94.8107,\"Optimal Mean\":0.966223}",86021
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":110.791,\"Optimal Mean\":0.861046}",86021
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":1351.7,\"Optimal Mean\":0.98711}",430266
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":852.711,\"Optimal Mean\":0.982368}",231176
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":511.561,\"Optimal Mean\":0.99079}",231176
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":30.5108,\"Optimal Mean\":0.933363}",86021
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":45.4876,\"Optimal Mean\":0.941715}",86021
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":52.0898,\"Optimal Mean\":0.985987}",86021
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":148.315,\"Optimal Mean\":0.961384}",108471
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":368.166,\"Optimal Mean\":0.791477}",154025
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":245.057,\"Optimal Mean\":0.763192}",108471
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":48.0306,\"Optimal Mean\":0.912941}",86021
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":596.067,\"Optimal Mean\":0.94626}",196847
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":1208.02,\"Optimal Mean\":0.973135}",357832
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":803.32,\"Optimal Mean\":0.930086}",196847
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":590.348,\"Optimal Mean\":0.92486}",196847
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":263.596,\"Optimal Mean\":0.880254}",154025
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":138.479,\"Optimal Mean\":0.96775}",86021
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":365.593,\"Optimal Mean\":0.788546}",142800
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":209.934,\"Optimal Mean\":0.887124}",108471
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":256.639,\"Optimal Mean\":0.959067}",108471
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":8233.93,\"Optimal Mean\":0.928551}",1998554
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":118.65,\"Optimal Mean\":0.948579}",86021
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":1029.25,\"Optimal Mean\":0.920486}",357832
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":6945.73,\"Optimal Mean\":0.676459}",2197644
